time_s,pos_x,pos_y,cte_m,speed_ms,heading_err_deg
0.03333333333333333,43.202999114990234,-64.46299743652344,2.8054202904684202,0.0,42.72097365189825
0.06666666666666667,43.20299530029297,-64.46296691894531,2.805436190290426,0.0009226521776159533,42.72109722341487
0.1,43.20298767089844,-64.46292114257812,2.80545854273996,0.0013922338555064895,42.818737813200315
0.13333333333333333,43.202980041503906,-64.46284484863281,2.8054997920488463,0.0023002339831056724,42.949667645467336
0.16666666666666666,43.20296859741211,-64.4627456665039,2.8055522202295298,0.0029952054584432373,43.11991465828586
0.19999999999999998,43.20295715332031,-64.4626235961914,2.8056188244086235,0.00367816742248265,43.30558369819448
0.2333333333333333,43.20294189453125,-64.46247100830078,2.805701336150419,0.004600467966211345,43.53566197433597
0.26666666666666666,43.20292663574219,-64.4623031616211,2.805793303964932,0.005056165016412626,43.85695809907139
0.3,43.20290756225586,-64.46212005615234,2.8058917347381733,0.00552288597656875,44.151471387171824
0.3333333333333333,43.20288848876953,-64.46190643310547,2.8060090771830146,0.006434185545442473,44.500827080997055
0.36666666666666664,43.2028694152832,-64.461669921875,2.806140609681603,0.007118372287025751,44.89831198570157
0.39999999999999997,43.202850341796875,-64.46141815185547,2.806281609363585,0.007574743992632864,45.304772605174655
0.4333333333333333,43.20283126831055,-64.46115112304688,2.8064320789086996,0.00803127413613407,45.753817673471026
0.4666666666666666,43.202816009521484,-64.46086120605469,2.8065997428222147,0.008709547847186484,46.20866541633769
0.49999999999999994,43.20280075073242,-64.4605484008789,2.8067816112252593,0.009395313607074185,46.73634065934022
0.5333333333333333,43.20278549194336,-64.46022033691406,2.8069729602551527,0.009852558860792946,47.23499278635553
0.5666666666666667,43.20277404785156,-64.45987701416016,2.8071767866909525,0.010305403074511162,47.81864889633994
0.6,43.20276641845703,-64.45951080322266,2.8073978233197856,0.010988712052146427,48.39364580918359
0.6333333333333333,43.202762603759766,-64.45913696289062,2.8076266137961063,0.011215793827973893,49.05438982697067
0.6666666666666666,43.202762603759766,-64.458740234375,2.807872621738198,0.01190185546875,49.69437135810942
0.7,43.20276641845703,-64.45832824707031,2.8081311203779635,0.012360148948334296,50.37674768866639
0.7333333333333333,43.20277786254883,-64.45790100097656,2.8084051050611727,0.012821980060642748,51.05834834061377
